"Korean Name","English Name","Searched Eng Name","Functions"
"아스퍼질러스발효물","Aspergillus Ferment","ASPERGILLUS/RASPBERRY FRUIT/RICE FERMENT FILTRATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING - HUMECTANT"
"아시아티코사이드","Asiaticoside","ASIATICOSIDE","ANTIOXIDANT | SKIN CONDITIONING | PERFUMING"
"아시아틱애씨드","Asiatic Acid","ASIATIC ACID","SKIN CONDITIONING | LIGHT STABILIZER"
"아이리쉬모스","Chondrus Crispus","CHONDRUS CRISPUS EXTRACT","SKIN CONDITIONING | VISCOSITY CONTROLLING"
"아이리쉬모스가루","Chondrus Crispus Powder","CHONDRUS CRISPUS POWDER","ABRASIVE"
"아이리쉬모스추출물","Chondrus Crispus Extract","CHONDRUS CRISPUS EXTRACT","SKIN CONDITIONING | VISCOSITY CONTROLLING"
"아이브라이트추출물","Euphrasia Officinalis Extract","EUPHRASIA OFFICINALIS EXTRACT","ANTIMICROBIAL | ASTRINGENT | SKIN CONDITIONING | SOOTHING | TONIC"
"아이비고드열매추출물","Coccinia Indica Fruit Extract","COCCINIA INDICA FRUIT EXTRACT","SKIN CONDITIONING"
"아이소노닐아이소노나노에이트","Isononyl Isononanoate","ISONONYL ISONONANOATE","ANTISTATIC | SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"아이소데실네오펜타노에이트","Isodecyl Neopentanoate","ISODECYL NEOPENTANOATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"아이소도데케인","Isododecane","ISODODECANE","SKIN CONDITIONING - EMOLLIENT | SOLVENT | PERFUMING"
"아이소류신","Isoleucine","ISOLEUCINE","ANTISTATIC | HAIR CONDITIONING | SKIN CONDITIONING"
"아이소말트","Isomalt","ISOMALT","HUMECTANT"
"아이소머라이즈드리놀레익애씨드","Isomerized linoleic acid","ISOMERIZED LINOLEIC ACID","FILM FORMING | SKIN CONDITIONING"
"아이소머라이즈드사플라워글리세라이즈","Isomerized Safflower Glycerides","ISOMERIZED SAFFLOWER GLYCERIDES","ORAL CARE | SKIN CONDITIONING"
"아이소부틸메틸테트라하이드로피란올","Isobutyl Methyl Tetrahydropyranol","ISOBUTYL METHYL TETRAHYDROPYRANOL","FRAGRANCE"
"아이소세테스-20","Isoceteth-20","ISOCETETH-20","SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING"
"아이소세틸미리스테이트","Isocetyl Myristate","ISOCETYL MYRISTATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"아이소세틸스테아로일스테아레이트","Isocetyl Stearoyl Stearate","ISOCETYL STEAROYL STEARATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING | VISCOSITY CONTROLLING"
"아이소소바이드다이카프릴레이트","Isosorbide Dicaprylate","ISOSORBIDE DICAPRYLATE","SKIN CONDITIONING"
"아이소스테아릭애씨드","Isostearic Acid","ISOSTEARIC ACID","BINDING | CLEANSING | SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING"
"아이소스테아릴네오펜타노에이트","Isostearyl Neopentanoate","ISOSTEARIC ACID","BINDING | CLEANSING | SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING"
"아이소스테아릴아이소스테아레이트","Isostearyl Isostearate","ISOSTEARYL ISOSTEARATE","BINDING | SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"아이소스테아릴알코올","Isostearyl Alcohol","ISOSTEARYL PCA","SKIN CONDITIONING - EMOLLIENT | HUMECTANT"
"아이소아밀라우레이트","Isoamyl Laurate","ISOAMYL LAURATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"아이소크퀴시스 갈바나추출물","Isochrysis Galbana Extract","ISOCHRYSIS GALBANA EXTRACT","SKIN CONDITIONING"
"아이소트라이데실아이소노나노에이트","Isotridecyl Isononanoate","ISOTRIDECYL ISONONANOATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"아이소펜틸다이올","Isopentyldiol","ISOPENTYLDIOL","SOLVENT"
"아이소프로필미리스테이트","Isopropyl Myristate","ISOPROPYL MYRISTATE","BINDING | SKIN CONDITIONING - EMOLLIENT | FRAGRANCE | PERFUMING"
"아이소프로필아이소스테아레이트","Isopropyl Isostearate","ISOPROPYL ISOSTEARATE","BINDING | SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"아이소프로필알코올","Isopropyl Alcohol","ISOPROPYL PELARGONATE","SKIN CONDITIONING - EMOLLIENT | HAIR CONDITIONING | SKIN CONDITIONING | SOLVENT"
